sample_id,duration_sec,speaking_rate_chars_per_min,pitch_mean_hz,pitch_variation_hz,silence_ratio,long_pause_count,volume_mean_rms,volume_variation_rms,delivery_score
ckmk_d_ict_f_n_161079,82.09,220.0,181.8,41.2,0.314,9,0.0375,0.0377,65
ckmk_d_ict_f_n_161080,80.1,194.8,189.1,48.6,0.367,7,0.0341,0.0367,60
ckmk_d_ict_f_n_161183,58.36,265.3,237.4,68.2,0.082,0,0.0474,0.0349,60
ckmk_d_ict_f_n_161184,53.24,267.1,229.9,69.2,0.103,0,0.0585,0.0443,75
ckmk_d_ict_f_n_161186,64.54,279.8,229.3,61.8,0.073,0,0.0602,0.044,55
ckmk_d_ict_f_n_161187,53.42,272.9,221.7,70.4,0.08,0,0.0547,0.044,55
ckmk_d_ict_f_n_161283,84.3,189.3,190.5,48.9,0.355,8,0.0359,0.0384,70
ckmk_d_ict_f_n_165173,66.33,213.5,209.4,80.9,0.233,4,0.0418,0.0409,55
ckmk_d_ict_f_n_165174,55.52,209.7,202.3,81.8,0.201,1,0.0476,0.054,60
ckmk_d_ict_f_n_165175,59.14,241.5,216.7,92.3,0.171,3,0.0403,0.0358,55
ckmk_d_ict_f_n_165176,63.41,224.3,228.7,103.6,0.185,1,0.0485,0.0486,60
ckmk_d_ict_f_n_165177,51.5,247.0,209.7,82.7,0.224,2,0.0437,0.0426,75
ckmk_d_ict_f_n_165178,41.1,223.4,211.9,84.5,0.204,1,0.0409,0.0419,65
ckmk_d_ict_f_n_165179,72.04,220.7,216.9,92.7,0.215,7,0.0443,0.0423,60
ckmk_d_ict_f_n_165180,76.84,222.5,215.5,82.7,0.198,3,0.0472,0.0447,55
ckmk_d_ict_f_n_165181,72.24,212.6,222.7,89.4,0.246,5,0.0409,0.0434,65
ckmk_d_ict_f_n_165182,69.3,233.8,214.2,89.5,0.19,3,0.0469,0.0442,55
ckmk_d_ict_f_n_174733,37.86,269.4,211.8,73.6,0.187,0,0.0524,0.0666,55
ckmk_d_ict_f_n_174734,83.68,237.3,197.9,75.6,0.203,3,0.0473,0.045,60
ckmk_d_ict_f_n_174735,81.71,280.5,214.2,82.0,0.127,1,0.0538,0.0515,60
ckmk_d_ict_f_n_174737,83.68,291.1,209.8,75.9,0.118,2,0.0579,0.0525,55
ckmk_d_ict_f_n_174738,55.59,258.0,185.6,71.0,0.148,1,0.0478,0.0459,60
ckmk_d_ict_f_n_174740,84.78,288.0,193.6,82.0,0.161,1,0.0501,0.0543,55
ckmk_d_ict_f_n_174741,57.61,285.4,185.6,70.7,0.168,1,0.0524,0.0598,60
ckmk_d_ict_f_n_174742,81.82,285.3,205.8,77.9,0.151,2,0.0545,0.054,55
ckmk_d_ict_f_n_175203,71.2,240.2,248.0,72.0,0.162,2,0.1109,0.0902,65
ckmk_d_ict_f_n_175204,85.2,263.4,242.3,72.7,0.129,3,0.1158,0.0913,55
ckmk_d_ict_f_n_175205,80.9,218.8,242.5,66.6,0.189,2,0.1052,0.0884,55
ckmk_d_ict_f_n_175206,84.66,251.6,256.0,75.7,0.088,0,0.117,0.0904,60
ckmk_d_ict_f_n_175207,74.73,242.5,262.9,77.5,0.149,1,0.1051,0.088,60
ckmk_d_ict_f_n_175208,79.06,252.7,246.0,75.8,0.137,1,0.1095,0.087,55
ckmk_d_ict_f_n_175210,82.58,253.6,247.6,74.9,0.139,1,0.1132,0.0922,55
ckmk_d_ict_f_n_175211,79.64,240.3,248.6,74.1,0.148,3,0.1084,0.0881,75
ckmk_d_ict_f_n_175212,83.14,267.7,245.0,69.9,0.127,0,0.1132,0.0888,50
ckmk_d_ict_f_n_176294,40.93,255.1,217.5,79.9,0.193,0,0.0316,0.0302,55
ckmk_d_ict_f_n_176295,79.18,284.2,239.9,90.7,0.123,1,0.0357,0.0288,60
ckmk_d_ict_f_n_176297,37.24,273.9,245.5,88.3,0.119,0,0.0356,0.0274,65
ckmk_d_ict_f_n_176298,78.34,284.1,222.6,84.0,0.132,1,0.0365,0.0303,60
ckmk_d_ict_f_n_176299,72.52,293.7,228.4,83.2,0.106,1,0.0348,0.0308,60
ckmk_d_ict_f_n_176300,63.38,287.8,218.6,79.0,0.104,1,0.0361,0.0303,60
ckmk_d_ict_f_n_176301,46.99,257.9,211.3,84.3,0.194,2,0.0322,0.0304,55
ckmk_d_ict_f_n_176302,61.95,286.7,227.4,86.7,0.139,2,0.0344,0.0297,55
ckmk_d_ict_f_n_177574,43.82,283.4,228.4,60.9,0.111,0,0.0556,0.0435,60
ckmk_d_ict_f_n_177575,37.98,276.5,240.2,72.9,0.156,1,0.0649,0.0511,60
ckmk_d_ict_f_n_177576,42.38,291.6,227.5,58.6,0.089,0,0.0624,0.0538,50
ckmk_d_ict_f_n_177577,50.61,273.9,215.9,45.8,0.052,0,0.0576,0.0385,60
ckmk_d_ict_f_n_177578,54.65,294.2,222.3,57.0,0.051,0,0.0633,0.0419,55
ckmk_d_ict_f_n_177579,41.46,266.3,229.7,55.5,0.142,1,0.0513,0.0408,60
ckmk_d_ict_f_n_177580,55.46,300.8,223.4,56.6,0.046,0,0.0535,0.0363,55
ckmk_d_ict_f_n_177581,52.2,300.0,223.8,65.6,0.06,0,0.0519,0.0352,60
ckmk_d_ict_f_n_177582,61.32,310.2,224.2,57.3,0.073,1,0.0601,0.0419,55
ckmk_d_ict_f_n_177773,47.44,294.7,224.9,56.5,0.064,0,0.0563,0.0371,60
ckmk_d_ict_f_n_177774,48.88,290.9,223.1,57.8,0.08,0,0.0596,0.0433,55
ckmk_d_ict_f_n_177775,43.28,274.5,215.3,53.5,0.06,0,0.0565,0.0383,55
ckmk_d_ict_f_n_177776,43.22,298.5,225.7,57.6,0.052,0,0.0536,0.0342,65
ckmk_d_ict_f_n_177777,49.58,250.5,222.0,60.2,0.134,0,0.0517,0.0392,60
ckmk_d_ict_f_n_177778,53.38,267.5,209.1,45.6,0.091,0,0.0571,0.0428,55
ckmk_d_ict_f_n_177779,46.56,260.3,210.5,51.9,0.063,0,0.0538,0.0379,60
ckmk_d_ict_f_n_177780,50.94,256.8,222.2,51.6,0.094,1,0.0519,0.0364,55
ckmk_d_ict_f_n_177781,49.72,276.3,222.3,58.2,0.069,0,0.0537,0.0371,55
ckmk_d_ict_f_n_177782,47.76,271.4,219.2,52.7,0.066,0,0.0583,0.0374,60
ckmk_d_ict_f_n_178103,41.7,287.8,224.6,50.8,0.128,0,0.0491,0.0349,60
ckmk_d_ict_f_n_178104,41.08,233.7,219.9,58.1,0.177,2,0.0527,0.0391,75
ckmk_d_ict_f_n_178105,51.58,273.4,224.2,55.5,0.082,1,0.0562,0.038,55
ckmk_d_ict_f_n_178106,48.73,294.3,225.5,60.7,0.092,0,0.0587,0.0417,55
ckmk_d_ict_f_n_178107,46.36,304.1,228.6,61.4,0.072,0,0.0572,0.0362,50
ckmk_d_ict_f_n_178108,51.47,303.1,224.7,56.6,0.06,0,0.0601,0.0389,55
ckmk_d_ict_f_n_178109,59.56,274.0,214.7,61.0,0.137,1,0.0588,0.0449,55
ckmk_d_ict_f_n_178110,53.38,295.6,218.2,57.1,0.14,2,0.0502,0.0413,55
ckmk_d_ict_f_n_178111,42.5,297.9,222.4,64.5,0.066,0,0.0539,0.0396,50
ckmk_d_ict_f_n_178112,51.04,261.0,220.0,63.0,0.14,1,0.053,0.04,55
ckmk_d_ict_f_n_178213,48.54,268.2,226.3,54.2,0.137,2,0.0552,0.0409,60
ckmk_d_ict_f_n_178214,40.06,302.5,222.4,57.4,0.117,1,0.05,0.0344,55
ckmk_d_ict_f_n_178215,43.62,293.0,226.6,62.6,0.08,0,0.0551,0.0371,60
ckmk_d_ict_f_n_178216,47.81,257.3,229.3,68.6,0.148,1,0.0527,0.0414,55
ckmk_d_ict_f_n_178217,48.92,310.3,220.1,52.8,0.046,0,0.0603,0.0388,60
ckmk_d_ict_f_n_178218,41.69,280.6,224.1,55.1,0.093,1,0.0531,0.0381,55
ckmk_d_ict_f_n_178219,63.84,238.7,216.1,57.2,0.14,3,0.0551,0.0425,55
ckmk_d_ict_f_n_178220,48.52,272.1,224.3,64.9,0.17,0,0.0482,0.0437,60
ckmk_d_ict_f_n_178221,52.72,283.4,214.6,56.4,0.127,0,0.0593,0.0477,55
ckmk_d_ict_f_n_178222,56.1,264.2,208.9,52.8,0.173,4,0.0514,0.043,55
ckmk_d_ict_f_n_178293,64.49,281.0,215.9,86.9,0.149,0,0.0521,0.0424,55
ckmk_d_ict_f_n_178294,51.56,268.8,217.9,80.3,0.145,1,0.0507,0.0416,55
ckmk_d_ict_f_n_178295,64.11,289.2,222.7,83.8,0.126,0,0.0525,0.0421,60
ckmk_d_ict_f_n_178296,76.93,294.0,218.9,85.2,0.139,0,0.0544,0.0456,60
ckmk_d_ict_f_n_178297,51.61,283.7,219.1,88.4,0.138,0,0.0502,0.0425,60
ckmk_d_ict_f_n_178298,51.32,256.0,209.3,87.2,0.161,0,0.0489,0.0413,55
ckmk_d_ict_f_n_180073,31.14,283.2,202.4,78.3,0.136,0,0.0616,0.0593,60
ckmk_d_ict_f_n_180074,33.28,319.1,192.1,70.8,0.061,0,0.0465,0.0311,55
ckmk_d_ict_f_n_180076,36.98,287.2,199.3,77.1,0.154,0,0.045,0.034,60
ckmk_d_ict_f_n_180077,33.88,302.8,198.5,74.3,0.113,0,0.045,0.0337,60
ckmk_d_ict_f_n_180078,47.08,291.8,189.4,62.4,0.185,2,0.0426,0.035,60
ckmk_d_ict_f_n_180079,32.2,273.9,193.3,63.2,0.166,0,0.0437,0.035,75
ckmk_d_ict_f_n_180080,36.44,250.3,199.9,78.8,0.21,0,0.0434,0.0399,60
ckmk_d_ict_f_n_180081,44.98,300.1,178.8,72.0,0.124,0,0.0435,0.0325,55
ckmk_d_ict_f_n_180082,35.95,318.8,204.8,76.8,0.095,0,0.048,0.0353,60
ckmk_d_ict_f_n_181213,62.84,221.5,231.8,108.6,0.128,1,0.048,0.0383,75
ckmk_d_ict_f_n_181214,69.3,243.3,225.8,92.4,0.074,0,0.0531,0.0367,60
ckmk_d_ict_f_n_181215,74.52,257.6,238.3,100.6,0.09,0,0.0566,0.0415,60
ckmk_d_ict_f_n_181216,76.22,248.0,245.7,104.1,0.115,0,0.0528,0.0408,55
ckmk_d_ict_f_n_181217,62.72,227.7,240.5,97.1,0.156,0,0.0514,0.0437,55
ckmk_d_ict_f_n_181218,80.18,213.3,232.7,103.1,0.137,0,0.0512,0.0405,55
ckmk_d_ict_f_n_181219,65.66,229.4,237.9,103.3,0.147,0,0.0502,0.0414,60
ckmk_d_ict_f_n_181363,80.12,232.9,233.2,102.6,0.115,0,0.0516,0.039,55
ckmk_d_ict_f_n_181364,70.51,214.4,250.5,117.3,0.187,0,0.049,0.0412,60
ckmk_d_ict_f_n_181365,67.28,236.3,241.7,105.2,0.141,0,0.0483,0.0377,50
ckmk_d_ict_f_n_184624,43.24,241.4,209.8,58.1,0.087,0,0.0503,0.0405,60
ckmk_d_ict_f_n_184625,50.7,246.2,213.3,53.1,0.124,0,0.0524,0.0438,60
ckmk_d_ict_f_n_184626,47.0,270.6,211.5,48.4,0.102,1,0.0538,0.0396,55
ckmk_d_ict_f_n_184627,55.75,259.4,210.2,55.4,0.145,0,0.0543,0.0421,60
ckmk_d_ict_f_n_184631,58.25,245.2,211.3,59.7,0.132,0,0.0537,0.0416,70
ckmk_d_ict_f_n_184632,44.22,257.8,213.8,52.2,0.098,1,0.0529,0.047,70
ckmk_d_ict_f_n_185033,45.68,257.4,218.2,54.0,0.122,0,0.0562,0.0402,60
ckmk_d_ict_f_n_185034,63.48,213.6,210.6,63.6,0.281,1,0.0467,0.0428,70
ckmk_d_ict_f_n_185035,55.82,263.3,212.6,51.8,0.094,1,0.0596,0.0411,55
ckmk_d_ict_f_n_185036,56.54,271.7,212.2,56.4,0.102,1,0.0594,0.0407,55
ckmk_d_ict_f_n_185037,49.64,265.9,215.6,52.2,0.056,0,0.0584,0.037,65
ckmk_d_ict_f_n_185038,46.78,245.0,205.9,40.9,0.114,0,0.0499,0.0356,60
ckmk_d_ict_f_n_185039,49.84,255.2,207.4,57.0,0.134,1,0.0489,0.0383,55
ckmk_d_ict_f_n_185040,64.42,273.8,205.8,48.3,0.07,0,0.0583,0.0378,60
ckmk_d_ict_f_n_185041,44.17,247.2,205.8,50.6,0.085,1,0.0516,0.0369,55
ckmk_d_ict_f_n_185042,58.86,267.1,208.5,51.6,0.11,0,0.0577,0.0419,60
ckmk_d_ict_f_n_185133,54.52,244.3,214.8,47.7,0.145,2,0.0556,0.0408,75
ckmk_d_ict_f_n_185134,55.06,262.6,213.9,49.8,0.043,0,0.0585,0.0365,55
ckmk_d_ict_f_n_185135,47.12,233.0,211.4,52.8,0.098,0,0.05,0.0353,75
ckmk_d_ict_f_n_185136,60.28,236.9,210.7,53.2,0.104,1,0.0537,0.0366,60
ckmk_d_ict_f_n_185137,61.76,261.3,208.2,60.1,0.115,1,0.052,0.0375,55
ckmk_d_ict_f_n_185138,47.9,245.5,214.9,58.6,0.13,0,0.0466,0.0332,65
ckmk_d_ict_f_n_185139,52.66,249.5,205.6,50.2,0.09,0,0.0543,0.037,60
ckmk_d_ict_f_n_185140,47.98,277.6,204.2,49.6,0.104,1,0.0512,0.0347,50
ckmk_d_ict_f_n_185141,44.2,260.6,211.0,54.5,0.095,0,0.0522,0.0348,60
ckmk_d_ict_f_n_185142,61.78,278.7,205.1,52.0,0.074,0,0.056,0.038,60
ckmk_d_ict_f_n_185243,49.64,246.6,210.3,57.0,0.096,0,0.0483,0.0354,75
ckmk_d_ict_f_n_185244,58.98,265.5,213.9,50.4,0.055,0,0.059,0.039,60
ckmk_d_ict_f_n_185245,57.88,264.3,206.1,55.5,0.059,0,0.0573,0.0386,55
ckmk_d_ict_f_n_185246,41.6,284.1,212.4,49.4,0.047,0,0.0538,0.0341,55
ckmk_d_ict_f_n_185247,50.46,256.8,214.7,53.3,0.081,0,0.0574,0.0394,60
ckmk_d_ict_f_n_185248,58.44,275.2,204.0,50.3,0.059,0,0.0495,0.032,55
ckmk_d_ict_f_n_185249,61.88,274.4,206.5,58.3,0.071,0,0.0588,0.0403,55
ckmk_d_ict_f_n_185250,43.58,278.1,205.1,56.6,0.057,0,0.0525,0.035,60
ckmk_d_ict_f_n_185251,56.39,240.5,209.2,60.4,0.125,0,0.0517,0.039,60
ckmk_d_ict_f_n_185252,51.76,229.5,207.0,57.4,0.152,1,0.0502,0.0374,70
ckmk_d_ict_f_n_190944,71.46,220.0,229.2,104.5,0.192,1,0.0379,0.0345,75
ckmk_d_ict_f_n_190945,61.0,232.1,226.7,101.1,0.158,0,0.0435,0.0384,75
ckmk_d_ict_f_n_190946,70.94,250.4,243.6,97.8,0.146,0,0.0446,0.0342,55
ckmk_d_ict_f_n_191123,37.05,285.0,207.6,58.9,0.13,0,0.0471,0.0354,55
ckmk_d_ict_f_n_191124,40.12,264.7,211.3,51.3,0.105,0,0.0495,0.0334,60
ckmk_d_ict_f_n_193073,76.84,299.8,216.6,63.7,0.113,0,0.1201,0.0743,60
ckmk_d_ict_f_n_193203,56.87,323.9,233.2,74.2,0.108,0,0.1208,0.0806,60
ckmk_d_ict_f_n_193204,68.21,304.4,225.0,64.3,0.147,0,0.1165,0.0776,60
ckmk_d_ict_f_n_194423,43.76,271.5,205.7,57.4,0.101,0,0.0543,0.0384,60
ckmk_d_ict_f_n_194424,45.32,264.8,209.4,43.7,0.046,0,0.056,0.0355,60
ckmk_d_ict_f_n_194553,41.22,278.0,205.3,48.0,0.078,0,0.0461,0.0339,50
ckmk_d_ict_f_n_194554,47.86,273.3,220.3,64.9,0.081,0,0.0537,0.0409,60
ckmk_d_ict_f_n_194555,48.54,244.7,204.5,57.5,0.101,0,0.0488,0.0374,55
ckmk_d_ict_f_n_194556,38.26,269.7,202.7,46.9,0.072,0,0.0492,0.0378,60
ckmk_d_ict_f_n_194557,34.82,258.5,206.9,56.4,0.147,0,0.044,0.0373,60
ckmk_d_ict_f_n_194558,39.24,259.9,212.9,57.7,0.074,0,0.0491,0.0372,50
ckmk_d_ict_f_n_194559,52.69,258.5,200.4,55.3,0.086,0,0.0574,0.0438,55
ckmk_d_ict_f_n_194560,43.32,263.2,214.2,56.9,0.063,0,0.0438,0.0311,60
ckmk_d_ict_f_n_194562,49.9,247.7,211.7,52.0,0.066,0,0.0494,0.036,60
ckmk_d_ict_f_n_194765,45.86,269.5,207.6,57.2,0.038,0,0.0461,0.0334,55
ckmk_d_ict_f_n_194766,36.12,269.1,200.7,46.2,0.119,0,0.047,0.0382,55
ckmk_d_ict_f_n_194767,53.48,265.9,208.5,48.7,0.056,0,0.0537,0.0392,55
ckmk_d_ict_f_n_194768,37.16,235.7,202.2,48.1,0.129,0,0.0474,0.0368,60
ckmk_d_ict_f_n_194769,44.8,294.6,204.5,55.6,0.061,0,0.0451,0.0377,55
ckmk_d_ict_f_n_194770,40.71,302.1,203.8,49.3,0.069,0,0.0506,0.038,45
ckmk_d_ict_f_n_195393,87.34,241.8,252.0,96.1,0.234,5,0.0467,0.0439,55
ckmk_d_ict_f_n_195394,85.53,250.4,219.0,83.9,0.254,4,0.0449,0.0444,60
ckmk_d_ict_f_n_195395,74.8,259.9,227.4,92.1,0.178,2,0.0468,0.0412,60
ckmk_d_ict_f_n_195396,84.52,266.9,236.6,90.7,0.217,5,0.0475,0.0436,55
ckmk_d_ict_f_n_195397,84.74,267.6,227.1,85.5,0.212,5,0.048,0.0433,60
ckmk_d_ict_f_n_195398,84.36,280.9,236.1,88.2,0.199,4,0.0499,0.0409,60
ckmk_d_ict_f_n_195399,79.34,259.4,233.0,91.2,0.222,5,0.0465,0.0437,60
ckmk_d_ict_f_n_195400,70.6,280.5,229.9,90.6,0.168,2,0.0544,0.0459,60
ckmk_d_ict_f_n_195401,79.76,271.6,238.0,83.2,0.178,3,0.0521,0.0446,55
ckmk_d_ict_f_n_195402,80.66,260.4,238.2,92.7,0.209,2,0.0421,0.0411,55
ckmk_d_ict_f_n_197273,52.0,250.4,212.4,65.7,0.097,0,0.0541,0.0409,60
ckmk_d_ict_f_n_197274,47.76,247.5,215.3,59.1,0.095,0,0.0503,0.0386,55
ckmk_d_ict_f_n_197275,53.64,234.9,213.8,63.4,0.09,1,0.0524,0.0399,75
ckmk_d_ict_f_n_197276,51.66,233.4,212.5,62.1,0.132,0,0.0667,0.0622,55
ckmk_d_ict_f_n_197277,60.92,301.4,207.8,55.9,0.049,0,0.0558,0.0401,55
ckmk_d_ict_f_n_197278,54.2,267.9,208.8,52.8,0.035,0,0.0591,0.041,60
ckmk_d_ict_f_n_197279,48.83,258.0,214.6,63.1,0.086,0,0.0512,0.0395,60
ckmk_d_ict_f_n_197280,43.22,269.3,206.4,55.5,0.119,1,0.0553,0.0469,55
ckmk_d_ict_f_n_197281,43.99,274.2,217.7,50.9,0.067,0,0.0554,0.0386,65
ckmk_d_ict_f_n_197282,43.83,246.4,215.7,65.9,0.099,0,0.0504,0.0399,60
ckmk_d_ict_f_n_204733,40.94,246.2,207.4,47.1,0.097,0,0.0449,0.0324,75
ckmk_d_ict_f_n_204734,46.12,282.3,214.5,56.3,0.074,0,0.0576,0.0428,60
ckmk_d_ict_f_n_204735,50.68,264.0,213.9,68.6,0.122,0,0.048,0.0429,55
ckmk_d_ict_f_n_204736,54.59,250.6,211.6,60.2,0.126,1,0.0517,0.0418,60
ckmk_d_ict_f_n_204737,55.65,249.1,214.3,57.7,0.117,1,0.0563,0.0411,55
ckmk_d_ict_f_n_204738,34.22,259.5,217.9,61.9,0.105,0,0.0469,0.0348,55
ckmk_d_ict_f_n_204739,43.45,267.9,207.1,47.3,0.104,1,0.0526,0.0376,55
ckmk_d_ict_f_n_204740,49.16,260.0,220.9,52.5,0.07,1,0.0586,0.0405,60
ckmk_d_ict_f_n_204741,42.84,259.1,203.1,48.4,0.109,1,0.0551,0.0421,55
ckmk_d_ict_f_n_204742,36.9,247.2,213.1,57.5,0.141,1,0.0452,0.0365,55
ckmk_d_ict_f_n_204833,44.64,256.7,220.2,63.0,0.115,1,0.0438,0.04,55
ckmk_d_ict_f_n_204834,42.66,279.9,211.8,62.5,0.122,1,0.0496,0.0403,55
ckmk_d_ict_f_n_204835,39.6,236.4,205.8,52.0,0.113,1,0.0472,0.0366,55
ckmk_d_ict_f_n_204836,43.96,258.0,217.2,64.2,0.094,0,0.0534,0.04,55
ckmk_d_ict_f_n_204837,43.2,266.7,210.9,60.5,0.108,0,0.0489,0.0409,60
ckmk_d_ict_f_n_204838,33.88,281.6,208.6,63.2,0.089,0,0.0464,0.0353,55
ckmk_d_ict_f_n_204839,60.84,263.3,204.1,62.9,0.137,3,0.0493,0.0419,60
ckmk_d_ict_f_n_204840,37.96,278.2,210.1,49.7,0.065,0,0.0536,0.0378,55
ckmk_d_ict_f_n_204841,50.56,248.0,212.5,57.8,0.163,1,0.0477,0.0378,55
ckmk_d_ict_f_n_204842,41.22,267.8,208.7,55.6,0.047,0,0.0493,0.0354,60
ckmk_d_ict_f_n_217633,79.52,294.3,225.5,68.9,0.111,0,0.0368,0.0269,55
ckmk_d_ict_f_n_217634,72.27,260.7,231.3,65.5,0.16,1,0.0351,0.0279,55
ckmk_d_ict_f_n_218544,47.52,294.2,226.4,65.7,0.086,0,0.0565,0.0383,55
ckmk_d_ict_f_n_218546,40.75,275.3,223.6,59.1,0.104,0,0.0513,0.0339,60
ckmk_d_ict_f_n_218548,49.82,268.6,218.7,56.5,0.065,0,0.0543,0.0377,55
ckmk_d_ict_f_n_218549,46.56,243.6,216.4,69.6,0.109,1,0.0488,0.0352,55
ckmk_d_ict_f_n_218552,43.3,232.8,229.6,63.5,0.149,1,0.0462,0.034,60
ckmk_d_ict_f_n_219123,51.72,251.7,222.3,71.0,0.057,0,0.0516,0.035,55
ckmk_d_ict_f_n_219124,39.48,253.8,233.8,70.0,0.132,0,0.0475,0.0332,55
ckmk_d_ict_f_n_219125,42.06,234.0,238.1,63.8,0.172,1,0.0492,0.0379,55
ckmk_d_ict_f_n_219126,40.6,263.1,225.9,59.6,0.057,0,0.052,0.034,60
ckmk_d_ict_f_n_219127,42.5,252.7,227.1,61.0,0.103,0,0.049,0.0339,55
ckmk_d_ict_f_n_219128,44.85,260.9,232.8,60.0,0.11,1,0.0463,0.0343,55
